CustomerID,Age,Gender,Tenure_Months,Contract_Type,Payment_Method,Monthly_Charges,Total_Charges,Num_Support_Calls,Avg_Login_Per_Month,Churn
CUST_1000,56,Female,15,One year,Electronic check,83.72,1255.8,1,19,1
CUST_1001,57,Female,3,Month-to-month,Mailed check,94.98,284.94,5,6,1
CUST_1002,38,Male,58,One year,Credit card,32.08,1860.64,2,27,0
CUST_1003,32,Female,62,One year,Bank transfer,64.42,3994.04,3,25,1
CUST_1004,68,Male,21,Month-to-month,Mailed check,115.4,2423.4,3,14,1
CUST_1005,37,Female,60,Month-to-month,Electronic check,104.99,6299.4,2,14,1
CUST_1006,67,Female,4,Month-to-month,Mailed check,48.71,194.84,3,22,0
CUST_1007,48,Female,15,Month-to-month,Bank transfer,76.88,1153.2,5,8,0
CUST_1008,62,Female,53,One year,Electronic check,55.28,2929.84,3,13,1
CUST_1009,24,Male,1,Month-to-month,Credit card,31.27,31.27,2,17,0
CUST_1010,52,Male,5,Two year,Mailed check,40.43,202.15,0,8,0
CUST_1011,41,Male,44,One year,Bank transfer,80.51,3542.44,2,5,0
CUST_1012,20,Male,5,One year,Bank transfer,53.05,265.25,2,9,1
CUST_1013,68,Male,52,One year,Credit card,111.68,5807.36,4,15,0
CUST_1014,53,Male,32,One year,Bank transfer,44.51,1424.32,1,10,0
CUST_1015,45,Female,44,Month-to-month,Mailed check,78.54,3455.76,1,23,0
CUST_1016,56,Female,1,Month-to-month,Mailed check,30.05,30.05,4,9,1
CUST_1017,54,Male,51,Month-to-month,Credit card,114.86,5857.86,5,24,0
CUST_1018,66,Female,58,Two year,Mailed check,92.67,5374.86,2,17,0
CUST_1019,18,Male,2,One year,Mailed check,118.71,237.42,3,23,0
CUST_1020,34,Male,38,Month-to-month,Credit card,118.51,4503.38,5,11,1
CUST_1021,23,Female,3,One year,Bank transfer,49.82,149.46,1,3,0
CUST_1022,37,Female,71,Month-to-month,Electronic check,65.78,4670.38,1,8,1
CUST_1023,40,Male,42,Month-to-month,Credit card,45.75,1921.5,0,20,0
CUST_1024,19,Male,48,Two year,Electronic check,111.04,5329.92,2,23,0
CUST_1025,20,Female,24,Month-to-month,Electronic check,87.78,2106.72,2,17,1
CUST_1026,55,Female,25,Month-to-month,Credit card,57.48,1437.0,1,22,1
CUST_1027,21,Male,14,Month-to-month,Credit card,62.98,881.72,2,17,1
CUST_1028,65,Female,59,Month-to-month,Bank transfer,52.54,3099.86,5,6,0
CUST_1029,44,Female,21,One year,Credit card,90.2,1894.2,0,5,1
CUST_1030,65,Male,4,Month-to-month,Electronic check,33.92,135.68,3,28,0
CUST_1031,58,Male,24,Month-to-month,Mailed check,117.0,2808.0,2,28,0
CUST_1032,38,Female,33,Month-to-month,Credit card,63.54,2096.82,1,22,1
CUST_1033,49,Male,23,Month-to-month,Bank transfer,56.58,1301.34,1,17,0
CUST_1034,26,Male,48,One year,Mailed check,102.84,4936.32,2,18,0
CUST_1035,18,Female,16,Month-to-month,Bank transfer,60.42,966.72,3,2,1
CUST_1036,40,Male,51,Month-to-month,Bank transfer,118.37,6036.87,5,26,1
CUST_1037,32,Female,60,Month-to-month,Credit card,99.3,5958.0,3,12,0
CUST_1038,21,Female,47,One year,Credit card,95.35,4481.45,4,18,0
CUST_1039,36,Female,58,Month-to-month,Electronic check,46.59,2702.22,5,23,1
CUST_1040,29,Male,1,Month-to-month,Electronic check,69.81,69.81,5,22,1
CUST_1041,33,Male,64,One year,Mailed check,95.7,6124.8,2,12,0
CUST_1042,68,Male,57,Month-to-month,Credit card,34.14,1945.98,0,14,0
CUST_1043,54,Male,10,Two year,Credit card,34.08,340.8,1,26,0
CUST_1044,49,Male,69,One year,Credit card,36.35,2508.15,1,17,0
CUST_1045,29,Female,35,One year,Electronic check,103.01,3605.35,2,5,0
CUST_1046,18,Male,40,Two year,Credit card,54.66,2186.4,3,14,0
CUST_1047,43,Female,34,Month-to-month,Bank transfer,40.63,1381.42,4,18,1
CUST_1048,46,Female,36,Month-to-month,Electronic check,55.38,1993.68,1,5,0
CUST_1049,65,Female,24,Two year,Credit card,107.26,2574.24,0,23,0
CUST_1050,42,Male,30,Two year,Mailed check,74.69,2240.7,0,22,0
CUST_1051,58,Male,9,Month-to-month,Mailed check,90.91,818.19,3,19,1
CUST_1052,33,Male,69,Month-to-month,Electronic check,79.83,5508.27,4,4,0
CUST_1053,26,Female,58,One year,Electronic check,105.46,6116.68,5,13,1
CUST_1054,26,Female,27,One year,Electronic check,76.2,2057.4,5,19,0
CUST_1055,34,Male,71,Two year,Credit card,61.52,4367.92,3,19,0
CUST_1056,71,Male,19,Month-to-month,Bank transfer,52.83,1003.77,1,28,0
CUST_1057,58,Male,1,One year,Credit card,116.6,116.6,3,17,1
CUST_1058,50,Female,6,Two year,Electronic check,117.29,703.74,4,15,0
CUST_1059,54,Female,19,Two year,Mailed check,44.96,854.24,0,14,0
CUST_1060,18,Male,54,One year,Credit card,96.34,5202.36,2,12,0
CUST_1061,45,Female,8,Month-to-month,Mailed check,53.93,431.44,4,9,1
CUST_1062,44,Female,63,One year,Electronic check,67.01,4221.63,4,28,1
CUST_1063,23,Female,69,One year,Mailed check,37.45,2584.05,5,18,0
CUST_1064,22,Male,33,One year,Mailed check,118.85,3922.05,0,11,0
CUST_1065,44,Male,33,Month-to-month,Bank transfer,42.05,1387.65,4,16,1
CUST_1066,45,Male,69,Two year,Mailed check,112.18,7740.42,4,21,1
CUST_1067,68,Male,4,Month-to-month,Electronic check,98.13,392.52,1,28,1
CUST_1068,56,Female,34,Month-to-month,Bank transfer,76.81,2611.54,3,1,0
CUST_1069,74,Male,47,Month-to-month,Electronic check,85.83,4034.01,1,11,1
CUST_1070,55,Female,38,One year,Mailed check,65.3,2481.4,2,19,0
CUST_1071,41,Male,30,One year,Bank transfer,92.79,2783.7,4,4,1
CUST_1072,34,Female,17,Month-to-month,Credit card,34.13,580.21,5,21,1
CUST_1073,28,Male,23,Month-to-month,Bank transfer,66.03,1518.69,3,8,0
CUST_1074,42,Male,67,One year,Credit card,45.51,3049.17,1,19,1
CUST_1075,18,Male,12,Month-to-month,Mailed check,41.59,499.08,1,13,1
CUST_1076,43,Male,47,One year,Bank transfer,76.05,3574.35,2,16,0
CUST_1077,66,Male,52,Month-to-month,Bank transfer,113.16,5884.32,5,26,0
CUST_1078,31,Female,2,One year,Mailed check,43.3,86.6,2,7,0
CUST_1079,62,Female,38,One year,Bank transfer,39.44,1498.72,4,28,1
CUST_1080,74,Male,44,Month-to-month,Electronic check,83.42,3670.48,3,10,1
CUST_1081,64,Female,34,One year,Credit card,68.85,2340.9,2,10,1
CUST_1082,23,Female,26,One year,Bank transfer,62.05,1613.3,4,6,1
CUST_1083,23,Female,4,Two year,Mailed check,55.66,222.64,0,23,1
CUST_1084,48,Female,36,Two year,Mailed check,65.81,2369.16,3,11,0
CUST_1085,73,Female,51,Two year,Mailed check,80.11,4085.61,1,19,0
CUST_1086,22,Female,26,Month-to-month,Bank transfer,47.96,1246.96,3,17,0
CUST_1087,55,Male,11,Two year,Electronic check,77.93,857.23,0,6,0
CUST_1088,27,Male,23,One year,Mailed check,59.01,1357.23,1,20,0
CUST_1089,28,Male,24,One year,Bank transfer,61.4,1473.6,0,5,0
CUST_1090,61,Female,9,Month-to-month,Bank transfer,35.98,323.82,5,28,0
CUST_1091,31,Female,30,Two year,Electronic check,103.31,3099.3,2,14,0
CUST_1092,21,Male,42,Month-to-month,Credit card,70.68,2968.56,5,19,1
CUST_1093,50,Male,17,Two year,Bank transfer,77.87,1323.79,4,8,1
CUST_1094,56,Male,70,Two year,Bank transfer,95.75,6702.5,1,20,0
CUST_1095,56,Male,36,Two year,Electronic check,58.05,2089.8,4,27,0
CUST_1096,21,Female,66,One year,Bank transfer,97.92,6462.72,5,6,0
